agent_name,issue_name,M1.1,M1.2_cost_usd,M1.2_tokens,M1.2_duration_s,M1.2_steps,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M4.1,M5.1,M5.2,M5.3,M5.4
MetaGPT,django__django-11099,0,5.725,1138688,62.14999999999997,43,0,0.42,0.95,0.835,1.0,0.7181818181818183,0.8666666666666667,0.8795,0.9,0.75,0.5068,1.0,0.7063
MetaGPT,django__django-15128,0,2.106,539843,160.90300000000022,70,1,0.18,0.25,0.5566666666666666,1.0,0.7414285714285714,0.56,0.8006,0.7857142857142857,0.2,0.4125,0.3333,0.8015
MetaGPT,django__django-16901,0,2.17,428134,46.59699999999999,31,0,0.22,0.2,0.71,1.0,0.6866666666666668,0.8888888888888888,0.8895,0.7333333333333334,0.85,0.4815,0.5,0.9928
MetaGPT,matplotlib__matplotlib-20676,0,4.492,873956,137.72500000000014,82,1,0.22,0.8,0.5966666666666667,1.0,0.80375,0.5,0.7475,0.7011764705882353,0.5,0.5659,1.0,0.5108
MetaGPT,matplotlib__matplotlib-22719,0,2.201,426998,79.235,58,1,0.42,1.0,0.5,1.0,0.8064516129032258,0.7,0.7098,0.9666666666666667,0.65,0.5071,0.5,0.8113
MetaGPT,matplotlib__matplotlib-23299,0,3.354,657448,100.28099999999999,67,1,0.25,0.85,0.63,1.0,0.8640625,0.5862068965517241,0.7105,0.7,0.45,0.4712,1.0,0.5813
MetaGPT,pallets__flask-5014,0,1.958,382085,175.95700000000002,41,0,0.35,0.6,0.745,1.0,0.7424999999999999,0.7857142857142857,0.6647,0.7357142857142858,0.45,0.5131,0.5,0.9044
MetaGPT,psf__requests-2317,0,1.363,266492,87.998,49,0,0.42,0.8,0.73,1.0,0.71,0.8235294117647058,0.6804,0.8571428571428571,1.0,0.5961,0.5,0.7219
MetaGPT,pylint-dev__pylint-4970,0,3.937,765960,222.0010000000001,97,1,0.22,0.7,0.5975,1.0,0.8323529411764706,0.525,0.7711,0.71875,0.6,0.53,1.0,0.4395
MetaGPT,pytest-dev__pytest-5262,0,2.081,400785,112.93800000000005,54,1,0.32,0.75,0.61,0.85,0.8407407407407407,0.45454545454545453,0.7667,1.0,0.68,0.4729,1.0,0.65
MetaGPT,scikit-learn__scikit-learn-10297,0,6.331,1238709,198.07700000000023,133,1,0.18,0.7,0.605,1.0,0.5038961038961038,0.54,0.6851,0.7476190476190476,0.85,0.536,1.0,0.3343
MetaGPT,scikit-learn__scikit-learn-12585,0,8.058,1429031,1362.572999999997,134,1,0.25,0.3,0.724,0.85,0.772463768115942,0.6666666666666666,0.7393,0.886842105263158,0.33,0.4639,0.5,0.8107
MetaGPT,sympy__sympy-13480,1,5.411,1075726,72.11899999999997,42,0,0.32,0.6,0.6799999999999999,1.0,0.6525000000000001,0.8125,0.8388,1.0,0.65,0.4713,1.0,0.7383
MetaGPT,sympy__sympy-18199,0,2.058,398149,93.96400000000011,58,1,0.34,0.95,0.62,1.0,0.8293103448275863,0.6363636363636364,0.7829,0.8166666666666668,1.0,0.4238,0.5,0.6024
MetaGPT,sympy__sympy-20801,0,10.45,2046486,268.5990000000002,180,1,0.17,0.3,0.6050000000000001,1.0,0.8595744680851064,0.6125,0.7512,0.7695121951219512,0.8,0.5022,1.0,0.2907
OpenHands,django__django-11099,0,0.0299374,547448,302.02999399999993,61,0,0.45,,0.78,0.8,0.7133333333333334,0.9642857142857143,0.7319,0.8807692307692307,,,,
OpenHands,django__django-15128,0,0.10703649999999999,1763329,447.54486299999974,96,0,0.18,,0.825,1.0,0.7563829787234042,0.9130434782608695,0.6559,0.9411764705882353,,,,
