agent_name,issue_name,M1.1,M1.2_cost_usd,M1.2_tokens,M1.2_duration_s,M1.2_steps,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M4.1,M5.1,M5.2,M5.3,M5.4
MetaGPT,django__django-11099,0,5.725,1138688,62.14999999999997,43,0,0.65,0.9,0.665,1.0,0.509090909090909,0.8666666666666667,0.7729,0.8375,0.6,0.5068,1.0,0.7063
MetaGPT,django__django-15128,0,2.106,539843,160.90300000000022,70,1,0.4,0.4,0.59,1.0,0.4685714285714285,0.56,0.7763,0.7785714285714286,0.4,0.4125,0.3333,0.8015
MetaGPT,django__django-16901,0,2.17,428134,46.59699999999999,31,0,0.65,0.85,0.76,1.0,0.43333333333333335,1.0,0.8894,1.0,0.8,0.4815,0.5,0.9928
MetaGPT,matplotlib__matplotlib-20676,0,4.492,873956,137.72500000000014,82,1,0.55,0.85,0.5499999999999999,1.0,0.5425,0.5,0.7062,0.7823529411764705,0.6,0.5659,1.0,0.5108
MetaGPT,matplotlib__matplotlib-22719,0,2.201,426998,79.235,58,1,0.65,0.9,0.7666666666666666,1.0,0.6258064516129032,0.7,0.707,1.0,0.8,0.5071,0.5,0.8113
MetaGPT,matplotlib__matplotlib-23299,0,3.354,657448,100.28099999999999,67,1,0.4,0.8,0.6733333333333333,1.0,0.60625,0.5172413793103449,0.7396,0.7733333333333333,0.85,0.4712,1.0,0.5813
MetaGPT,pallets__flask-5014,0,1.958,382085,175.95700000000002,41,0,0.65,0.85,0.765,1.0,0.62,0.8571428571428571,0.6677,0.8285714285714285,0.8,0.5131,0.5,0.9044
MetaGPT,psf__requests-2317,0,1.363,266492,87.998,49,0,0.65,0.8,0.73,1.0,0.68,0.8235294117647058,0.7046,0.9285714285714286,0.85,0.5961,0.5,0.7219
MetaGPT,pylint-dev__pylint-4970,0,3.937,765960,222.0010000000001,97,1,0.4,0.8,0.505,1.0,0.5666666666666667,0.575,0.7453,0.7374999999999999,0.6,0.53,1.0,0.4395
MetaGPT,pytest-dev__pytest-5262,0,2.081,400785,112.93800000000005,54,1,0.4,0.6,0.55,1.0,0.5555555555555556,0.45454545454545453,0.7099,1.0,0.8,0.4729,1.0,0.65
MetaGPT,scikit-learn__scikit-learn-10297,0,6.331,1238709,198.07700000000023,133,1,0.4,0.85,0.5599999999999999,1.0,0.4805194805194805,0.76,0.7167,0.8476190476190476,0.85,0.536,1.0,0.3343
MetaGPT,scikit-learn__scikit-learn-12585,0,8.058,1429031,1362.572999999997,134,1,0.4,1.0,0.626,0.4,0.655072463768116,0.6875,0.7101,0.7999999999999999,0.4,0.4639,0.5,0.8107
MetaGPT,sympy__sympy-13480,1,5.411,1075726,72.11899999999997,42,0,0.65,0.9,0.605,1.0,0.5349999999999999,0.8125,0.9057,1.0,0.8,0.4713,1.0,0.7383
MetaGPT,sympy__sympy-18199,0,2.058,398149,93.96400000000011,58,1,0.6,0.9,0.65,1.0,0.6344827586206896,0.6818181818181818,0.7511,0.9333333333333332,0.9,0.4238,0.5,0.6024
MetaGPT,sympy__sympy-20801,0,10.45,2046486,268.5990000000002,180,1,0.4,0.6,0.4571428571428572,1.0,0.6170212765957447,0.625,0.7565,0.8268292682926829,0.6,0.5022,1.0,0.2907
OpenHands,django__django-11099,0,0.0299374,547448,302.02999399999993,61,0,0.85,,0.6916666666666667,0.7,0.57,0.9285714285714286,0.681,0.9923076923076923,,,,
OpenHands,django__django-15128,0,0.10703649999999999,1763329,447.54486299999974,96,0,0.65,,0.7462500000000001,1.0,0.5191489361702127,0.8043478260869565,0.6152,0.9411764705882353,,,,
OpenHands,django__django-16901,1,0.1473352,1967452,655.9252859999998,103,0,0.65,,0.7125,0.7,0.57,0.88,0.5407,0.9458333333333333,,,,
OpenHands,matplotlib__matplotlib-20676,0,0.0661181,797469,270.033684,49,0,0.75,,0.6799999999999999,0.7,0.5863636363636364,0.7727272727272727,0.4957,0.8636363636363636,,,,
OpenHands,matplotlib__matplotlib-22719,1,0.15391795000000003,2373192,595.3547539999998,122,1,0.65,,0.7424999999999999,0.7,0.5833333333333334,0.7931034482758621,0.6139,0.9588235294117647,,,,
OpenHands,matplotlib__matplotlib-23299,0,0.27970629999999996,3942575,1073.413184,202,1,0.3,,0.6364285714285715,1.0,0.5372549019607843,0.7157894736842105,0.5775,0.9137931034482759,,,,
OpenHands,pallets__flask-5014,0,0.06511935000000002,1409820,877.709126,100,1,0.65,,0.6225,0.7,0.588,0.7555555555555555,0.4848,0.9444444444444444,,,,
OpenHands,psf__requests-2317,0,0.17790035,2620259,795.5311779999996,160,1,0.65,,0.7016666666666667,0.7,0.6164556962025317,0.8311688311688312,0.6833,0.953125,,,,
OpenHands,pylint-dev__pylint-4970,0,0.10900510000000002,1738690,556.6364659999998,105,0,0.65,,0.6925,0.7,0.5722222222222222,0.8333333333333334,0.6644,0.9400000000000001,,,,
OpenHands,pytest-dev__pytest-5262,0,0.07186015000000003,1217439,478.27022200000005,96,0,0.65,,0.6950000000000001,0.7,0.582,0.7674418604651163,0.5733,0.911111111111111,,,,
OpenHands,scikit-learn__scikit-learn-10297,1,0.09266199999999998,1593266,380.268084,91,0,0.65,,0.7166666666666667,0.7,0.5666666666666667,0.7906976744186046,0.5695,0.8722222222222222,,,,
OpenHands,scikit-learn__scikit-learn-12585,0,0.013591549999999999,353798,2613.6941510000006,43,0,0.6,,0.65,0.7,0.53,0.8181818181818182,0.4547,0.775,,,,
OpenHands,sympy__sympy-13480,0,0.0628723,1022156,720.2160119999999,82,0,0.6,,0.6166666666666667,0.7,0.5475,0.7567567567567568,0.5996,0.9214285714285715,,,,
OpenHands,sympy__sympy-18199,0,0.04201805,447255,589.011254,46,0,0.75,,0.77,0.7,0.5333333333333333,0.65,0.5887,0.9333333333333333,,,,
OpenHands,sympy__sympy-20801,0,0.14354330000000004,2685072,477.48743900000005,106,0,0.65,,0.7025,0.7,0.5403846153846154,0.8431372549019608,0.5946,1.0,,,,
SWE-Agent,django__django-11099,0,0.014338949999999998,88089,8.729681124023045,41,0,0.75,,0.7849999999999999,1.0,0.46842105263157896,0.7894736842105263,0.485,0.7,,,,
SWE-Agent,django__django-15128,0,0.06951085,361554,10.586424625027576,43,0,0.85,,0.735,1.0,0.505,0.95,0.5572,1.0,,,,
SWE-Agent,django__django-16901,1,0.12979864999999996,1829952,18.320708250903408,117,1,0.65,,0.77,1.0,0.5189655172413793,0.9107142857142857,0.56,0.975,,,,
