agent_name,issue_name,M1.1,M1.2_cost_usd,M1.2_tokens,M1.2_duration_s,M1.2_steps,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M4.1,M5.1,M5.2,M5.3,M5.4
MetaGPT,django__django-11099,0,5.725,1138688,62.14999999999997,43,0,0.32,0.95,0.81,1.0,0.8300000000000001,1.0,0.8811,0.89375,0.5,0.5068,1.0,0.7063
MetaGPT,django__django-15128,0,2.106,539843,160.90300000000022,70,1,,,,,,,0.8686,,,,0.3333,0.8015
MetaGPT,django__django-16901,0,2.17,428134,46.59699999999999,31,0,0.15,,0.71,1.0,1.0,0.5,0.8909,0.7333333333333334,0.85,0.4815,0.5,0.9928
MetaGPT,matplotlib__matplotlib-20676,0,4.492,873956,137.72500000000014,82,1,0.22,0.6,0.6166666666666667,1.0,0.86875,0.625,0.763,0.6352941176470589,0.78,0.5659,1.0,0.5108
MetaGPT,matplotlib__matplotlib-22719,0,2.201,426998,79.235,58,1,0.35,,0.6,1.0,0.8785714285714287,1.0,0.7284,0.9416666666666668,0.85,0.5071,0.5,0.8113
MetaGPT,matplotlib__matplotlib-23299,0,3.354,657448,100.28099999999999,67,1,,,,,,,0.7479,,,,1.0,0.5813
MetaGPT,pallets__flask-5014,0,1.958,382085,175.95700000000002,41,0,0.42,1.0,0.71,1.0,0.75,1.0,0.6912,0.7428571428571429,0.65,0.5131,0.5,0.9044
MetaGPT,psf__requests-2317,0,1.363,266492,87.998,49,0,0.62,0.2,0.835,1.0,0.3,1.0,0.7491,0.8642857142857142,0.95,0.5961,0.5,0.7219
MetaGPT,pylint-dev__pylint-4970,0,3.937,765960,222.0010000000001,97,1,0.22,0.6,0.5425,1.0,0.8772727272727273,0.625,0.7975,0.69375,0.5,0.53,1.0,0.4395
MetaGPT,pytest-dev__pytest-5262,0,2.081,400785,112.93800000000005,54,1,0.18,0.6,0.58,1.0,0.725,0.4,0.7279,0.975,0.67,0.4729,1.0,0.65
MetaGPT,scikit-learn__scikit-learn-10297,0,6.331,1238709,198.07700000000023,133,1,,,,,,,0.7729,,,,1.0,0.3343
MetaGPT,scikit-learn__scikit-learn-12585,0,8.058,1429031,1362.572999999997,134,1,0.25,0.2,0.674,0.6,0.8464285714285714,0.8,0.7464,0.8615789473684211,0.6,0.4639,0.5,0.8107
MetaGPT,sympy__sympy-13480,1,5.411,1075726,72.11899999999997,42,0,0.24,,0.605,1.0,0.6625,0.75,0.906,1.0,0.65,0.4713,1.0,0.7383
MetaGPT,sympy__sympy-18199,0,2.058,398149,93.96400000000011,58,1,,,,,,,0.7861,,,,0.5,0.6024
