agent_name,issue_name,M1.1,M1.2_cost_usd,M1.2_tokens,M1.2_duration_s,M1.2_steps,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M4.1,M5.1,M5.2,M5.3,M5.4
MetaGPT,django__django-11099,0,5.725,1138688,62.14999999999997,43,0,0.7,1.0,0.85,1.0,0.6799999999999999,1.0,0.8816,0.8875,0.9,0.5068,1.0,0.7063
MetaGPT,django__django-15128,0,2.106,539843,160.90300000000022,70,1,0.6,0.8,0.5833333333333334,0.0,0.5857142857142856,0.8,0.8663,0.85,0.8,0.4125,0.3333,0.8015
MetaGPT,django__django-16901,0,2.17,428134,46.59699999999999,31,0,0.75,1.0,0.85,0.0,0.8333333333333334,1.0,0.8909,0.9,0.9,0.4815,0.5,0.9928
MetaGPT,matplotlib__matplotlib-20676,0,4.492,873956,137.72500000000014,82,1,0.6,1.0,0.5499999999999999,0.0,0.6,0.625,0.7553,0.7882352941176469,0.9,0.5659,1.0,0.5108
MetaGPT,matplotlib__matplotlib-22719,0,2.201,426998,79.235,58,1,0.75,1.0,0.8166666666666668,1.0,0.6857142857142857,1.0,0.7248,1.0,0.9,0.5071,0.5,0.8113
MetaGPT,matplotlib__matplotlib-23299,0,3.354,657448,100.28099999999999,67,1,0.6,1.0,0.75,0.0,0.6,0.8333333333333334,0.7435,0.74,0.9,0.4712,1.0,0.5813
MetaGPT,pallets__flask-5014,0,1.958,382085,175.95700000000002,41,0,0.7,1.0,0.825,0.0,0.75,1.0,0.6912,0.9142857142857144,0.9,0.5131,0.5,0.9044
MetaGPT,psf__requests-2317,0,1.363,266492,87.998,49,0,0.7,1.0,0.8,1.0,0.54,1.0,0.7758,0.9142857142857144,0.9,0.5961,0.5,0.7219
MetaGPT,pylint-dev__pylint-4970,0,3.937,765960,222.0010000000001,97,1,0.6,0.8,0.5125,0.4,0.6909090909090909,0.625,0.7939,0.7374999999999999,0.8,0.53,1.0,0.4395
MetaGPT,pytest-dev__pytest-5262,0,2.081,400785,112.93800000000005,54,1,0.4,0.8,0.575,0.0,0.4833333333333334,0.6,0.7405,1.0,0.9,0.4729,1.0,0.65
