agent_name,issue_name,M1.1,M1.2_cost_usd,M1.2_tokens,M1.2_duration_s,M1.2_steps,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M4.1,M5.1,M5.2,M5.3,M5.4
MetaGPT,django__django-11099,0,5.725,1138688,62.14999999999997,43,0,0.32,0.65,0.7949999999999999,1.0,0.78,1.0,0.882,0.90625,0.5,0.5068,1.0,0.7063
MetaGPT,django__django-15128,0,2.106,539843,160.90300000000022,70,1,0.18,0.2,0.5133333333333333,1.0,0.5357142857142857,0.4,0.8223,0.7714285714285715,0.25,0.4125,0.3333,0.8015
MetaGPT,django__django-16901,0,2.17,428134,46.59699999999999,31,0,0.18,0.2,0.72,1.0,0.15,0.5,0.8907,0.7333333333333334,0.85,0.4815,0.5,0.9928
MetaGPT,matplotlib__matplotlib-20676,0,4.492,873956,137.72500000000014,82,1,0.22,0.6,0.5666666666666667,1.0,0.76875,0.625,0.7595,0.6764705882352942,0.5,0.5659,1.0,0.5108
MetaGPT,matplotlib__matplotlib-22719,0,2.201,426998,79.235,58,1,0.38,0.65,0.5266666666666666,1.0,0.7285714285714285,1.0,0.7275,0.9583333333333334,0.95,0.5071,0.5,0.8113
MetaGPT,matplotlib__matplotlib-23299,0,3.354,657448,100.28099999999999,67,1,0.22,0.55,0.6066666666666667,1.0,0.7785714285714286,0.8333333333333334,0.7464,0.7133333333333333,0.65,0.4712,1.0,0.5813
MetaGPT,pallets__flask-5014,0,1.958,382085,175.95700000000002,41,0,0.32,0.66,0.825,1.0,0.7625,1.0,0.6912,0.6142857142857142,0.45,0.5131,0.5,0.9044
MetaGPT,psf__requests-2317,0,1.363,266492,87.998,49,0,0.62,0.6,0.7949999999999999,1.0,0.4,1.0,0.7498,0.8428571428571429,1.0,0.5961,0.5,0.7219
MetaGPT,pylint-dev__pylint-4970,0,3.937,765960,222.0010000000001,97,1,0.18,0.2,0.5575,1.0,0.7636363636363637,0.625,0.7918,0.65,0.78,0.53,1.0,0.4395
MetaGPT,pytest-dev__pytest-5262,0,2.081,400785,112.93800000000005,54,1,0.18,0.2,0.585,1.0,0.6749999999999999,0.4,0.7377,1.0,0.35,0.4729,1.0,0.65
MetaGPT,scikit-learn__scikit-learn-10297,0,6.331,1238709,198.07700000000023,133,1,0.15,0.9,0.6333333333333333,1.0,0.33125,0.6,0.7428,0.819047619047619,0.85,0.536,1.0,0.3343
