agent_name,issue_name,M1.1,M1.2_cost_usd,M1.2_tokens,M1.2_duration_s,M1.2_steps,M2.1,M2.2,M2.3,M2.4,M2.5,M3.1,M3.2,M3.3,M4.1,M5.1,M5.2,M5.3,M5.4
MetaGPT,django__django-11099,0,5.725,1138688,62.14999999999997,43,0,0.65,0.85,0.7150000000000001,1.0,0.5599999999999999,1.0,0.8816,0.875,0.6,0.5068,1.0,0.7063
MetaGPT,django__django-15128,0,2.106,539843,160.90300000000022,70,1,0.4,0.4,0.5916666666666667,1.0,0.35714285714285715,0.4,0.8431,0.8214285714285714,0.4,0.4125,0.3333,0.8015
MetaGPT,django__django-16901,0,2.17,428134,46.59699999999999,31,0,0.65,0.8,0.78,1.0,0.6,1.0,0.8909,1.0,0.8,0.4815,0.5,0.9928
MetaGPT,matplotlib__matplotlib-20676,0,4.492,873956,137.72500000000014,82,1,0.55,0.85,0.5499999999999999,1.0,0.5,0.625,0.7386,0.788235294117647,0.8,0.5659,1.0,0.5108
MetaGPT,matplotlib__matplotlib-22719,0,2.201,426998,79.235,58,1,0.65,0.9,0.7666666666666666,1.0,0.5714285714285714,1.0,0.7275,1.0,0.8,0.5071,0.5,0.8113
MetaGPT,matplotlib__matplotlib-23299,0,3.354,657448,100.28099999999999,67,1,0.4,0.8,0.65,1.0,0.5428571428571428,0.8333333333333334,0.7441,0.7799999999999999,0.8,0.4712,1.0,0.5813
MetaGPT,pallets__flask-5014,0,1.958,382085,175.95700000000002,41,0,0.6,0.85,0.765,1.0,0.6,1.0,0.6912,0.8571428571428571,0.8,0.5131,0.5,0.9044
MetaGPT,psf__requests-2317,0,1.363,266492,87.998,49,0,0.65,0.8,0.73,1.0,0.26,1.0,0.7499,0.9285714285714286,0.85,0.5961,0.5,0.7219
MetaGPT,pylint-dev__pylint-4970,0,3.937,765960,222.0010000000001,97,1,0.4,0.8,0.5075,1.0,0.5636363636363636,0.625,0.7913,0.7374999999999999,0.6,0.53,1.0,0.4395
MetaGPT,pytest-dev__pytest-5262,0,2.081,400785,112.93800000000005,54,1,0.4,0.6,0.52,1.0,0.39999999999999997,0.4,0.7231,1.0,0.8,0.4729,1.0,0.65
MetaGPT,scikit-learn__scikit-learn-10297,0,6.331,1238709,198.07700000000023,133,1,0.4,0.85,0.5599999999999999,1.0,0.5812499999999999,0.8,0.768,0.8523809523809524,0.85,0.536,1.0,0.3343
MetaGPT,scikit-learn__scikit-learn-12585,0,8.058,1429031,1362.572999999997,134,1,0.4,1.0,0.632,0.7,0.6,0.8,0.7465,0.7999999999999999,0.4,0.4639,0.5,0.8107
MetaGPT,sympy__sympy-13480,1,5.411,1075726,72.11899999999997,42,0,0.65,0.9,0.635,1.0,0.5,0.5,0.9068,1.0,0.8,0.4713,1.0,0.7383
MetaGPT,sympy__sympy-18199,0,2.058,398149,93.96400000000011,58,1,0.65,0.9,0.65,1.0,0.5666666666666667,0.6,0.7712,0.9333333333333332,0.85,0.4238,0.5,0.6024
MetaGPT,sympy__sympy-20801,0,10.45,2046486,268.5990000000002,180,1,0.4,0.6,0.45142857142857146,1.0,0.5789473684210527,0.5625,0.764,0.8365853658536585,0.6,0.5022,1.0,0.2907
OpenHands,django__django-11099,0,0.0299374,547448,302.02999399999993,61,0,0.85,,0.6916666666666667,0.7,0.6166666666666666,1.0,0.7332,0.9923076923076923,,,,
OpenHands,django__django-15128,0,0.10703649999999999,1763329,447.54486299999974,96,0,0.65,,0.7462500000000001,1.0,0.5700000000000001,0.9,0.6475,0.9411764705882353,,,,
OpenHands,django__django-16901,1,0.1473352,1967452,655.9252859999998,103,0,0.65,,0.7125,0.7,0.62,0.8,0.6524,0.9666666666666667,,,,
OpenHands,matplotlib__matplotlib-20676,0,0.0661181,797469,270.033684,49,0,0.75,,0.6799999999999999,0.7,0.4,0.6,0.6479,0.8636363636363636,,,,
OpenHands,matplotlib__matplotlib-22719,1,0.15391795000000003,2373192,595.3547539999998,122,1,0.65,,0.7537499999999999,0.7,0.625,0.75,0.6767,0.9588235294117647,,,,
OpenHands,matplotlib__matplotlib-23299,0,0.27970629999999996,3942575,1073.413184,202,1,0.3,,0.6285714285714287,1.0,0.4428571428571429,0.6842105263157895,0.7013,0.9172413793103449,,,,
OpenHands,pallets__flask-5014,0,0.06511935000000002,1409820,877.709126,100,1,0.65,,0.6225,0.7,0.58,1.0,0.5875,0.9444444444444444,,,,
OpenHands,psf__requests-2317,0,0.17790035,2620259,795.5311779999996,160,1,0.65,,0.6933333333333334,0.7,0.70625,0.875,0.7462,0.946875,,,,
OpenHands,pylint-dev__pylint-4970,0,0.10900510000000002,1738690,556.6364659999998,105,0,0.65,,0.7,0.7,0.4272727272727273,0.9,0.7294,0.9099999999999999,,,,
OpenHands,pytest-dev__pytest-5262,0,0.07186015000000003,1217439,478.27022200000005,96,0,0.65,,0.6825,0.7,0.65,0.7777777777777778,0.6438,0.9055555555555556,,,,
