Agent,Metric,Label,Mean,Median,Std,Min,Max,N
MetaGPT,M1.1,M1.1 Task Success Rate,0.0667,0.0,0.2582,0.0,1.0,15
MetaGPT,M1.2_cost_usd,M1.2 Kosten (USD),4.113,3.354,2.6416,1.363,10.45,15
MetaGPT,M1.2_tokens,M1.2 Token,804566.0,657448.0,498890.2639,266492.0,2046486.0,15
MetaGPT,M1.2_duration_s,M1.2 Dauer (s),212.0745,112.938,324.6264,46.597,1362.573,15
MetaGPT,M1.2_steps,M1.2 Schritte,75.9333,58.0,42.5768,31.0,180.0,15
MetaGPT,M2.1,M2.1 Loop Detection,0.6667,1.0,0.488,0.0,1.0,15
MetaGPT,M2.1_inv,M2.1 Loop-Free Rate,0.3333,0.0,0.488,0.0,1.0,15
MetaGPT,M2.2,M2.2 Trajectory Efficiency,0.2853,0.25,0.0905,0.17,0.42,15
MetaGPT,M2.3,M2.3 Global Strategy Consistency,0.65,0.7,0.2693,0.2,1.0,15
MetaGPT,M2.4,M2.4 Stepwise Reasoning Quality,0.6497,0.62,0.0859,0.5,0.835,15
MetaGPT,M2.5,M2.5 Role Adherence,0.98,1.0,0.0528,0.85,1.0,15
MetaGPT,M3.1,M3.1 Tool Selection Quality,0.7576,0.7725,0.0959,0.5039,0.8641,15
MetaGPT,M3.2,M3.2 Tool Execution Success,0.6639,0.6364,0.1417,0.4545,0.8889,15
MetaGPT,M3.3,M3.3 Tool Usage Efficiency,0.7612,0.7512,0.0688,0.6647,0.8895,15
MetaGPT,M4.1,M4.1 Context Utilization,0.8213,0.7857,0.1072,0.7,1.0,15
MetaGPT,M5.1,M5.1 Communication Efficiency,0.6507,0.65,0.2343,0.2,1.0,15
MetaGPT,M5.2,M5.2 Information Diversity (IDS),0.497,0.5022,0.0488,0.4125,0.5961,15
MetaGPT,M5.3,M5.3 Unique Path Redundancy (UPR),0.7556,1.0,0.2736,0.3333,1.0,15
MetaGPT,M5.4,M5.4 Agent Invocation Distribution,0.6597,0.7063,0.202,0.2907,0.9928,15
OpenHands,M1.1,M1.1 Task Success Rate,0.2,0.0,0.414,0.0,1.0,15
OpenHands,M1.2_cost_usd,M1.2 Kosten (USD),0.1042,0.0927,0.0685,0.0136,0.2797,15
